status,priority,lead_type,segment,name,url,public_contact,why_relevant,opening_angle,first_action,notes
new,P1,service_partner,跨境物流/供应链,燊鑫国际物流,https://www.sunsonexpress.com/cangchu/,15919326970; sunny@sunsonexpress.com,提供物流、Shopify 定制、供应链定制、包装耗材和 API 对接,用 Joii 给其 Shopify/供应链客户做增值服务,电话/邮箱触达,公开联系方式完整
new,P1,platform_partner,独立站建站平台,Ueeshop,https://www.ueeshop.com/,,跨境独立站建站平台，覆盖 B2C 商城、Google/Meta/TikTok 对接,找渠道/生态合作，给卖家提供 AI 商品图权益,联系官网建站咨询,客户池大但决策链可能长
new,P1,platform_partner,跨境选品/供应链,EasyYa 易芽,https://www.easyya.com/,,覆盖供应链采购、选品、跨境账期、产品视觉服务,与其产品视觉服务强相关，可切入 AI 商拍降本,添加产品顾问/在线咨询,非常适合视觉服务合作
new,P1,platform_partner,跨境分销/一件代发,SharerLine,https://www.sharerline.com/zh,,跨境分销平台，商品一键同步到独立店铺,给供应商和分销卖家批量生成商品素材,联系开始选品入口,供应链素材池
new,P1,platform_partner,选品/数据/卖家工具,出海匠,https://ninther.com/,info@chuhaijiang.com,覆盖 TikTok Shop 商品、店铺、达人、视频、广告和直播数据，号称大量跨境卖家使用,从“找爆品后快速做素材”切入,邮件联系或公众号导师入口,AI 生态合作可能性高
new,P1,platform_partner,跨境 AI 运营助手,LinkFox,https://www.linkfox.com/,,跨境电商 AI 运营助手，覆盖选品、Listing、AI作图、自动任务,竞品/合作双重属性，研究其客户和卖点,先做竞品研究，不直接硬推,可关注其用户案例
new,P2,platform_partner,韩国跨境选品工具,Pickon,https://www.pickon.cn/,客服QQ 2247439389,时尚服装/杂货等类目选品和流量分析工具,选品后需要视觉测款，Joii 可补全图像链路,客服QQ/公众号联系,适合韩国/服装方向
new,P2,platform_partner,TEMU/跨境选品,博远探航,https://intemu.net/,,跨境选品与数据分析，服务卖家和自动化上新,自动化上新后需要商品图优化,联系官网立即使用/客服,偏工具合作
new,P2,platform_partner,跨境运营工具,大卖家,https://damaijia.cn/,,跨境精细化运营工具，采集上架、核价跟价、多平台库存同步,把 Joii 作为上架前商品图增强工具,下载插件/登录后找合作入口,线索池较泛
new,P2,platform_partner,Dropshipping/选品,Diffshop,https://www.diffshop.cn/dropshipping,,整合商品数据和广告情报，面向 Amazon/Shopify/Temu/SHEIN/TikTok,从广告素材追踪到素材生成闭环切入,联系官网,适合一件代发卖家
new,P2,community_partner,TikTok 跨境导航,TKSOU,https://www.tksou.com/,,TikTok 跨境电商导航，含跨境服务、AI工具箱、加入社群入口,申请收录 Joii 或加入社群触达卖家,投稿/社群入口,优先做收录和社群
new,P2,community_partner,TikTok 运营导航,TKTOC,https://www.tktoc.com/,,TikTok 运营工具箱，面向运营者、跨境卖家、MCN 和品牌,商务合作/导航收录/社群触达,联系商务合作入口,适合渠道曝光
new,P2,community_partner,TikTok 跨境导航,TKQNR,https://www.tkqnr.com/,,TK去哪儿导航，含跨境服务、AI工具箱、素材来源等分类,申请 AI 工具箱收录，观察社区用户需求,联系站长/收录入口,适合低成本曝光
new,P2,community_partner,TikTok 资源导航,TK Grow,https://www.tkgrow.com/,,TikTok E-Commerce Resource Hub，收录软件、达人建联、数据分析等工具,申请收录 Joii 并找服务商合作位,联系站点合作入口,偏生态入口
new,P2,community_partner,TikTok 运营内容,TTOFO,https://www.ttofo.com/,,面向 TikTok 跨境运营者的教程和工具导航,投稿 AI 商品图教程，导入种子用户,站内投稿/联系入口,适合内容获客
new,P2,community_partner,TikTok Shop 导航,TKMOON,https://tkmoon.net/,,TikTok 跨境电商导航，收录 Linkfox AI 等工具,申请收录 Joii 或做工具对比,联系网站入口,竞品已在该渠道出现
new,P2,community_partner,独立站导航,17独立站,https://www.17dlz.cn/,,独立站和跨境电商运营工具集合，收录 ERP/建站/工具,申请收录 Joii，找 Shopify 卖家流量,联系站点合作/收录,适合独立站方向
new,P2,community_partner,跨境卖家导航,卖家111,https://www.maijia111.com/,,跨境卖家常用网站导航，收录大量工具和服务商,申请收录并寻找更多服务商线索,联系收录/合作入口,可继续挖 338 个站点
new,P2,community_partner,跨境/AI 工具导航,星火导航,https://tokira.de/,,跨境电商与 AI 工具合集,申请收录 AI 商品图工具,联系站长/收录入口,流量质量待验证
new,P2,erp_partner,跨境 ERP,店小秘,https://www.dianxiaomi.com/,,据导航信息称覆盖大量跨境卖家，连接多平台,与 ERP 合作上架前商品图优化插件/权益,找渠道或生态合作入口,决策链长但用户池巨大
new,P2,erp_partner,跨境 ERP,马帮ERP,https://www.mabangerp.com/,,跨境 ERP，服务出口跨境电商卖家,切入商品采集/刊登前的图片增强,找商务合作入口,作为生态合作储备
new,P2,erp_partner,跨境 ERP,4Seller,https://www.4seller.com/,,店小秘旗下海外版 ERP，覆盖多平台卖家,上架素材增强/图片生成权益合作,找官网合作入口,适合海外卖家池
new,P2,erp_partner,跨境 ERP,妙手ERP,https://www.51mishop.com/,,跨境电商 ERP，快速上品和店铺运营管理,用 Joii 解决快速上品后的商品图差异化,找商务/客服入口,需核实联系方式
new,P2,erp_partner,跨境 ERP,斑马ERP,https://www.banmaerp.com/,,跨境电商 SaaS 服务商,商品图增强插件或会员权益合作,找商务入口,储备
new,P2,erp_partner,亚马逊 ERP,领星ERP,https://www.lingxing.com/,,亚马逊卖家 ERP，覆盖财务、广告、供应链,亚马逊服装/家居卖家主图优化场景,找生态合作入口,亚马逊方向
new,P2,erp_partner,东南亚 ERP,BigSeller,https://www.bigseller.com/,,东南亚多平台销售管理 SaaS,适合 Shopee/Lazada/TikTok 东南亚卖家商品图本地化,找合作入口,可做多语言/多国家素材角度
new,P2,data_partner,TikTok 数据分析,FastMoss,https://www.fastmoss.com/,,TikTok 数据分析平台，服务商家与选品场景,从爆品发现到素材生成闭环合作,找商务合作入口,高相关但商务门槛较高
new,P2,data_partner,TikTok 数据分析,EchoTik,https://echotik.live/,,TikTok 电商数据助手，面向卖家和创作者,从达人/商品分析后生成商品图切入,找合作/客服入口,可联动素材测试
new,P2,data_partner,TikTok/广告选品,皮皮广告 Pipiads,https://www.pipiads.com/,,跨境出海广告营销与选品平台,广告素材洞察后生成变体图,找商务合作入口,竞品广告素材分析场景
new,P2,data_partner,海外网红营销,Noxinfluencer,https://www.noxinfluencer.com/,,海外网红搜索和营销追踪,给品牌投放前准备商品图和达人 brief 素材,找合作入口,偏品牌营销
new,P2,data_partner,TikTok 达人建联,WotoHub,https://www.wotohub.com/,,TikTok 达人建联工具,达人寄样前用 Joii 生成商品视觉预案,找商务入口,适合 TikTok 内容链路
new,P2,data_partner,TK 卖家建联,Toolsprite,https://toolsprite.com/,,TK 卖家建联、私信/商品卡/EDM 自动 AI 批量建联,研究其触达链路和合作可能,找官网入口,偏渠道工具
new,P2,competitor_research,AI 商拍/模特图,WeShop 唯象,https://www.weshop.com/,,AI 商拍工具，电商模特图/AI试衣间/跨境电商视觉专家,研究其渠道、评论和用户表达，不作为合作首选,做竞品研究并搜其用户评论,重点竞品
new,P2,competitor_research,AI 商品图/运营,LinkFox AI,https://www.linkfox.com/,,跨境电商 AI 作图和运营助手,研究“传统摄影 7-15 天 vs AI 5 分钟”叙事,整理竞品对比,重点竞品
new,P2,competitor_research,AI 电商图像智能体,FigCraft Vision,https://figcraft.qinaxis.com/,,AI 电商图像智能体,研究竞品落地页和用户入口,收集竞品渠道,低优先
new,P2,competitor_research,跨境 AI 设计智能体,Flyelep 飞象 Agent,https://agent.bextai.com/,,跨境电商 AI 设计智能体，强调平台适配,研究平台适配表达和收录渠道,竞品研究,低优先
new,P2,competitor_research,电商生图/精修,Shopix AI,https://shopix-ai.company/zh,,电商生图和商品图精修，覆盖 Amazon/TikTok Shop/淘宝等,研究价格、功能、渠道和用户反馈,竞品研究,低优先
new,P2,competitor_research,电商视觉智能体,ShopSight,https://wanjia.art/,,电商商家 AI 视觉智能体，强调成本下降和上新效率,研究案例和卖点表达,竞品研究,低优先
new,P3,keyword_pool,小红书个人卖家线索,跨境女装,https://www.xiaohongshu.com/search_result?keyword=%E8%B7%A8%E5%A2%83%E5%A5%B3%E8%A3%85,,用于找真实经营中的服装出海卖家,逐个私信“免费做 3 张海外模特图”,每天筛 15 个账号,需人工打开筛选
new,P3,keyword_pool,小红书个人卖家线索,TikTok Shop 女装,https://www.xiaohongshu.com/search_result?keyword=TikTok%20Shop%20%E5%A5%B3%E8%A3%85,,TikTok Shop 服装卖家痛点最强,直接邀约非核心款测试,每天筛 15 个账号,需账号登录
new,P3,keyword_pool,小红书个人卖家线索,Shopify 女装,https://www.xiaohongshu.com/search_result?keyword=Shopify%20%E5%A5%B3%E8%A3%85,,独立站品牌更愿意为视觉付费,给独立站商品页/广告素材样图,每天筛 10 个账号,需人工筛选
new,P3,keyword_pool,小红书供应链线索,1688 女装工厂,https://www.xiaohongshu.com/search_result?keyword=1688%20%E5%A5%B3%E8%A3%85%E5%B7%A5%E5%8E%82,,工厂想服务跨境卖家，可免费做 SKU 展示图,帮工厂做欧美/日韩模特图样张,每天筛 10 个账号,适合拿样本和传播
